구분ID,식당명,이미지,지역,업종,소개,전화번호,주소,찾아가는길,홈페이지
1,원조태성실비식당,https://img.siksinhot.com/place/1458990661235132.jpg?w=560&h=448&c=Y,강원> 태백,한국음식 > 불고기/갈비살/차돌박이,"태백의 한우구이를 즐길 수 있는 곳입니다. 숯불 한우갈비, 갈비살 모둠이 인기가 많으며 태백에서 자란 한우를 직송하여 가장 저렴한 가격으로 푸짐하게 먹을 수 있습니다. 질 좋은 태백 한우를 싼가격에 마음껏 먹을 수 있는 한우전문 식당입니다. ",033-552-5287,강원도 태백시 감천로 4,태백시가지에서 관광대학과 주공1단지 이정표를 따라 좌회전 해 철길을 넘어서 50m 앞 도로 좌측에 위치,
1,강릉감자옹심본점,https://img.siksinhot.com/place/1509594190233416.jpg?w=560&h=448&c=Y,강원> 강릉시,한국음식 > 라면/칼국수/국수/수제비,오래된 가정집을 식당으로 사용하여 할머니 댁에 온 것 같은 분위기를 자아냅니다. 손 칼국수면과 감자옹심이가 들어간 걸쭉한 국물의 옹심이 칼국수와 감자와 팥이 어우러진 감자송편이 인기메뉴입니다. 가끔 예상치 못한 휴무일이 있을 수 있으니 방문 전 미리 연락을 해보는 것을 추천합니다.,033-648-0340,강원도 강릉시 토성로 171,강원 강릉시 중앙동 주민센터에서 직진 100m한 후 CU편의점을 끼고 우측으로 간 다음 오규환가옥 근처에 위치 ,
1,강릉짬뽕순두부 동화가든 본점,https://img.siksinhot.com/place/1548046038168104.jpg?w=560&h=448&c=Y,강원> 강릉시-경포/안목카페거리,한국음식 > 한정식,"초당순두부마을에 위치한 맛집입니다. 국내에서 '짬뽕 순두부' 메뉴를 최초로 개발한 곳으로, 평일 오전에도 길게 줄이 이어질 만큼 인기가 높습니다. 대표 메뉴는 불향 가득한 짬뽕 국물에 몽글몽글한 순부두가 어우러진 ‘원조짬순’입니다. 부드러운 순두부가 맵고 칼칼한 국물맛을 중화시켜 조화롭게 어울립니다. 간이 세지 않아 초당순두부 고유의 맛 자체를 느낄 수 있는 ‘초두부’도 인기 메뉴입니다. ‘원조짬순’은 오전 8시 30분부터 오후 7시까지만 주문 가능합니다. ",033-652-9885,강원도 강릉시 초당순두부길77번길 15,강릉고등학교 근처에 위치,
1,봉포머구리집,https://img.siksinhot.com/place/1464078611471379.png?w=560&h=448&c=Y,강원> 속초,한국음식 > 회,"직접 잡은 신선한 자연산 재료를 사용하는 맛집입니다. 생선회, 해삼, 멍게, 개불이 들어간 푸짐한 양의 해삼모듬물회가 대표메뉴입니다. 바다의 맛이 살아있는 성게알밥과 뜨끈한 성게 미역국도 인기입니다.",033-631-2021,강원도 속초시 영랑해안길 223,강원 속초 영랑 119 안전센터 주변 s-oil 주유소 맞은편에 위치 ,
1,원조강릉교동반점 본점,https://img.siksinhot.com/place/1352177219164660.JPG?w=560&h=448&c=Y,강원> 강릉시,세계음식 > 중국음식,"이곳은 짬뽕 전문점을 표방하는 곳으로, 메뉴는 단출하게 짬뽕면, 짬뽕밥과 군만두뿐입니다. 조개, 홍합을 비롯한 해물과 돼지고기, 갖은 야채를 넣고 끓인 시원한 육수의 짬뽕이 가장 인기입니다. ",033-646-3833,강원도 강릉시 강릉대로 205,강원도 강릉시 교동사거리 인근 축협주변에 위치 ,
1,속초생대구,https://img.siksinhot.com/place/1486614874119022.jpg?w=560&h=448&c=Y,강원> 속초,한국음식 > 해물탕/해물요리/꽃게,"동명항 근처에 자리 잡은 대구 요리 전문점입니다. 대표 메뉴 ‘생대구탕’은 살이 통통하게 오른 생대구와 대구 간, 곤이를 넣어 함께 끓여냅니다. 최소한의 양념으로만 간을 하여 대구 본연의 풍미를 살린 개운한 국물맛이 특징입니다. 대구 수컷의 정소인 ‘이리’를 밀가루와 달걀물을 입혀 부쳐낸 겨울철 한정 메뉴 ‘이리전’도 별미입니다. 노릇하게 부쳐낸 전은 입 안에서 부드럽게 녹아내리며 눅진하고 고소한 맛이 매력입니다. 대구 산란기인 1월에는 다른 생선으로 대체하며 이리전은 11월부터 판매합니다.",033-636-9774,강원도 속초시 영랑해안3길 14,속초국제 여객선터미널 근처에 위치,
1,만석닭강정본점,https://img.siksinhot.com/place/1352254553263204.jpg?w=560&h=448&c=Y,강원> 속초,한국음식 > 치킨/훈제,매콤달콤한 양념과 바삭한 식감의 닭강정으로 유명한 닭튀김 전문점입니다. 앉아서 먹을 공간은 없으며 오로지 포장만 가능합니다. 늘 줄을 서서 기다려야 될 정도로 인기가 많습니다. 전국 어디서든 택배 주문도 가능합니다.,1577-9042,강원도 속초시 청초호반로 72,강원 속초관광수산시장 중앙시장내에 위치 ,
1,정선면옥,https://img.siksinhot.com/place/1464079618802501.png?w=560&h=448&c=Y,강원> 정선,한국음식 > 라면/칼국수/국수/수제비,"정선 면옥은 강원도 정선군 정선읍에 있는 막국수전문점입니다. 메뉴는 막국수, 장 칼국수, 만둣국, 비빔 칼국수 등 다양한 메뉴들이 준비되어 있습니다. 이 집의 인기메뉴는 장 칼국수로 된장과 고추장이 잘 배합된 국물에 쫄깃한 면발이 인기입니다. 주차장이 따로 없어 차량을 갖고 방문한다면 불편할 수 있습니다.",033-562-2233,강원도 정선군 정선읍 봉양5길 35,정선군청인근 동아서점에서 우회전 후 직진하면 다이소 인근에 위치,
1,88생선구이,https://img.siksinhot.com/place/1571045982546509.jpg?w=560&h=448&c=Y,강원> 속초,한국음식 > 해물탕/해물요리/꽃게,"속초 중앙시장 근처에 위치한 생선구이 전문점 '88생선구이'. 불판에 생선을 올려놓고 직접 구워 먹을 수 있는 곳으로 싱싱한 생선과 해산물을 즐길 수 있는 곳입니다. 고등어부터 꽁치, 오징어, 가자미, 메로, 새치, 황열갱이, 도루묵, 삼치, 청어 등 열 가지의 다양한 생선을 모두 맛볼 수 있는 '생선구이 모듬정식'이 이곳의 단일 메뉴입니다. 생선은 모두 구워주므로 편하게 식사할 수 있으며 2인분 이상만 주문 가능하니 참고 바랍니다.",033-633-8892,강원도 속초시 중앙부두길 71,중앙시장입구 삼거리 근처에 위치,
1,엄지네포장마차,https://img.siksinhot.com/place/1544506904862113.jpg?w=560&h=448&c=Y,강원> 강릉시,나이트라이프 > 포장마차,여행객뿐만 아니라 현지인도 줄 서서 먹는다는 강릉의 유명한 맛집입니다. 실내 포장마차로 오후 5시에 오픈하지만 그 전부터 웨이팅을 하는 사람들이 있을 정도입니다. 대표 인기 메뉴는 '육사시미'와 '꼬막무침' 두 가지입니다. 메인 메뉴가 등장하기 전 약 10~11가지 정도의 밑반찬이 제공되어 넉넉한 인심을 자랑합니다. 잘 손질되어 있는 꼬막에 양념장과 청양고추를 올려낸 '꼬막무침'은 3만원이 아깝지 않을 만큼 푸짐한 꼬막의 양을 자랑합니다. 보통은 꼬막무침과 함께 꼬막과 양념장에 밥을 넣고 비빈 비빔밥도 함께 주문을 하는데 적당한 간의 양념과 알싸한 청양고추의 매콤함이 조화를 이루어 많은 이들의 입맛을 사로잡습니다. 가능한 메뉴가 매일 조금씩 다르다고 하니 꼬막무침을 제외한 메뉴가 궁금하다면 미리 전화해 보는,033-642-0178,강원도 강릉시 경강로2255번길 21,강릉역,
