기준시간,광역시도,사망자,확진자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
2020-12-22,검역,1,2361,18,1658,702,0,18,-
2020-12-22,제주,0,271,19,103,168,19,0,40.40
2020-12-22,경남,3,1095,18,768,324,18,0,32.58
2020-12-22,경북,61,2094,59,1721,312,58,1,78.65
2020-12-22,전남,5,513,5,425,83,4,1,27.51
2020-12-22,전북,7,692,4,452,233,4,0,38.08
2020-12-22,충남,19,1305,17,974,312,15,2,61.49
2020-12-22,충북,15,834,31,441,378,30,1,52.14
2020-12-22,강원,13,999,23,709,277,23,0,64.85
2020-12-22,경기,181,12152,206,8608,3363,193,13,91.71
2020-12-22,세종,0,130,1,122,8,1,0,37.98
2020-12-22,울산,17,568,6,299,252,6,0,49.52
2020-12-22,대전,6,708,9,577,125,9,0,48.03
2020-12-22,광주,3,905,26,755,147,26,0,62.13
2020-12-22,인천,19,2381,45,1617,745,44,1,80.54
2020-12-22,대구,200,7557,39,7098,259,39,0,310.16
2020-12-22,부산,28,1539,26,1039,472,26,0,45.11
2020-12-22,서울,144,15356,317,8562,6650,309,8,157.76
2020-12-22,합계,722,51460,869,35928,14810,824,45,99.25
2020-12-21,검역,1,2343,10,1658,684,0,10,-
2020-12-21,제주,0,252,23,102,150,23,0,18.93
2020-12-21,경남,3,1077,15,748,326,15,0,26.36
2020-12-21,경북,61,2035,48,1715,259,48,0,70.05
2020-12-21,전남,5,508,9,418,85,8,1,25.79
2020-12-21,전북,7,688,13,441,240,11,2,28.67
2020-12-21,충남,18,1288,16,950,320,16,0,54.47
2020-12-21,충북,13,803,33,424,366,29,4,36.26
2020-12-21,강원,13,976,25,692,271,22,3,54.14
2020-12-21,경기,173,11946,244,8235,3538,237,7,77.36
2020-12-21,세종,0,129,0,121,8,0,0,37.39
2020-12-21,울산,16,562,17,280,266,17,0,42.11
2020-12-21,대전,6,699,3,568,125,3,0,44.57
2020-12-21,광주,3,879,13,751,125,11,2,56.77
2020-12-21,인천,15,2336,88,1591,730,85,3,65.36
2020-12-21,대구,200,7518,21,7082,236,21,0,303.06
2020-12-21,부산,28,1513,20,1009,476,19,1,38.01
2020-12-21,서울,136,15039,328,8370,6533,327,1,130.04
