구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,1인당비율
강남구,5221,52.17137860682017,544085,539235,4850,73942,0.8914048356414899,13.590155949897534,0.959592710697777
강동구,1879,82.96007789678677,462275,458058,4217,68798,0.9122275701692716,14.882483370288249,0.406468011465037
강북구,1265,83.06801736613603,313550,309996,3554,62951,1.1334715356402487,20.076861744538352,0.40344442672619996
강서구,1617,77.88778877887789,589536,583544,5992,88052,1.0163925527872768,14.935813928241872,0.2742835043152581
관악구,3985,99.1504247876062,514555,498574,15981,78206,3.1057904402833523,15.198763980526865,0.774455597555169
광진구,1581,111.93029490616621,361923,348064,13859,50047,3.82926755138524,13.828079453364387,0.4368332490612644
구로구,3227,72.10666666666667,435751,405579,30172,69312,6.924137867727211,15.906331827121456,0.7405605494881251
금천구,1634,112.48374512353708,249641,232157,17484,39361,7.003657251813603,15.767041471553151,0.6545399193241496
노원구,1906,42.026825633383005,529532,525486,4046,84612,0.7640709154498689,15.978637740495381,0.35994047574084287
도봉구,858,66.60194174757281,329300,327248,2052,61388,0.6231399939265108,18.641967810507136,0.26055268751897964
동대문구,2003,,358679,344416,14263,61408,3.9765361228284895,17.12060087153137,0.5584380462753604
동작구,1780,79.25478348439074,404617,393554,11063,64674,2.7341906049424516,15.984004626597498,0.43992219802924737
마포구,1935,91.77403369672943,383494,373508,9986,54053,2.6039520826922984,14.094875017601321,0.504571127579571
서대문구,2121,71.7408906882591,323860,313212,10648,53869,3.2878404248749464,16.633421848947073,0.6549126165627123
서초구,2835,54.07608695652174,429995,426009,3986,59495,0.9269875231107338,13.83620739776044,0.659309991976651
성동구,2679,114.14868105515586,302695,295591,7104,45372,2.346916863509473,14.989345711029253,0.88504930705826
성북구,3003,78.00829875518674,449871,439719,10152,73370,2.256646905446228,16.309119725432407,0.6675246904112513
송파구,1586,62.833675564681734,676673,670331,6342,92149,0.9372326071824943,13.61795135907595,0.23438204272964933
양천구,2775,90.1987662782728,460048,456240,3808,64804,0.8277397141167878,14.086356206308905,0.6031979271728167
영등포구,2495,139.44337811900192,405982,375630,30352,60826,7.476193525821342,14.982437645018745,0.6145592661743624
용산구,2063,12.058663769690385,244953,229786,15167,39995,6.191800059603271,16.32762203361461,0.8422023816813837
은평구,2962,43.09178743961353,485842,481546,4296,84353,0.8842380856327778,17.362228872761108,0.6096632238464357
종로구,1471,56.3230605738576,159842,149952,9890,28396,6.187360018017793,17.765042979942695,0.92028378023298
중구,1544,145.4689984101749,135321,125800,9521,24265,7.035862874202821,17.93143710141072,1.1409906814167794
중랑구,1068,,400989,395997,4992,68658,1.2449219305267725,17.122165445934925,0.2663414707136605
