구분,확진자,확진률,사망자,사망률,치명률,등록일자
0-9,1684,3.33,0,0.0,0.0,2020-12-21
10-19,3150,6.23,0,0.0,0.0,2020-12-21
20-29,8552,16.9,0,0.0,0.0,2020-12-21
30-39,6414,12.68,3,0.43,0.05,2020-12-21
40-49,7099,14.03,6,0.86,0.08,2020-12-21
50-59,9402,18.58,29,4.15,0.31,2020-12-21
60-69,7883,15.58,84,12.03,1.07,2020-12-21
70-79,3979,7.87,204,29.23,5.13,2020-12-21
80 이상,2428,4.8,372,53.3,15.32,2020-12-21
여성,26262,51.91,340,48.71,1.29,2020-12-21
남성,24329,48.09,358,51.29,1.47,2020-12-21
0-9,1638,3.3,0,0.0,0.0,2020-12-20
10-19,3105,6.25,0,0.0,0.0,2020-12-20
20-29,8455,17.02,0,0.0,0.0,2020-12-20
30-39,6297,12.68,2,0.3,0.03,2020-12-20
40-49,6975,14.04,6,0.89,0.09,2020-12-20
50-59,9207,18.54,28,4.15,0.3,2020-12-20
60-69,7722,15.55,81,12.02,1.05,2020-12-20
70-79,3892,7.84,200,29.67,5.14,2020-12-20
80 이상,2374,4.78,357,52.97,15.04,2020-12-20
여성,25797,51.94,329,48.81,1.28,2020-12-20
남성,23868,48.06,345,51.19,1.45,2020-12-20
0-9,1591,3.28,0,0.0,0.0,2020-12-19
10-19,3035,6.25,0,0.0,0.0,2020-12-19
20-29,8318,17.13,0,0.0,0.0,2020-12-19
30-39,6155,12.67,2,0.3,0.03,2020-12-19
40-49,6823,14.05,6,0.91,0.09,2020-12-19
50-59,8974,18.48,28,4.25,0.31,2020-12-19
60-69,7534,15.51,77,11.68,1.02,2020-12-19
70-79,3813,7.85,199,30.2,5.22,2020-12-19
80 이상,2327,4.79,347,52.66,14.91,2020-12-19
여성,25325,52.14,320,48.56,1.26,2020-12-19
남성,23245,47.86,339,51.44,1.46,2020-12-19
0-9,1558,3.28,0,0.0,0.0,2020-12-18
10-19,2969,6.25,0,0.0,0.0,2020-12-18
20-29,8183,17.22,0,0.0,0.0,2020-12-18
30-39,6044,12.72,2,0.31,0.03,2020-12-18
40-49,6669,14.04,6,0.93,0.09,2020-12-18
50-59,8754,18.42,26,4.03,0.3,2020-12-18
60-69,7358,15.49,77,11.94,1.05,2020-12-18
70-79,3730,7.85,197,30.54,5.28,2020-12-18
80 이상,2250,4.74,337,52.25,14.98,2020-12-18
여성,24744,52.08,309,47.91,1.25,2020-12-18
남성,22771,47.92,336,52.09,1.48,2020-12-18
0-9,1518,3.27,0,0.0,0.0,2020-12-17
10-19,2903,6.25,0,0.0,0.0,2020-12-17
20-29,8060,17.35,0,0.0,0.0,2020-12-17
30-39,5912,12.73,2,0.32,0.03,2020-12-17
40-49,6535,14.07,6,0.95,0.09,2020-12-17
50-59,8529,18.36,26,4.1,0.3,2020-12-17
60-69,7172,15.44,77,12.15,1.07,2020-12-17
70-79,3640,7.84,194,30.6,5.33,2020-12-17
80 이상,2184,4.7,329,51.89,15.06,2020-12-17
