ID,버거킹 매장수,맥도날드 매장수,KFC 매장수,롯데리아 매장수,맘스터치 매장수,버거지수,y,x
서울 서초,7.0,6.0,10.0,5.0,1.0,3.8333333333333335,7.0,6.0
서울 강남,13.0,10.0,7.0,9.0,4.0,2.3076923076923075,8.0,6.0
서울 종로,3.0,5.0,5.0,4.0,3.0,1.8571428571428568,4.0,6.0
서울 중구,8.0,3.0,0.0,4.0,2.0,1.8333333333333333,5.0,6.0
서울 금천,4.0,4.0,2.0,5.0,2.0,1.4285714285714286,8.0,5.0
서울 서대문,5.0,3.0,2.0,4.0,4.0,1.25,4.0,5.0
서울 마포,5.0,4.0,1.0,5.0,3.0,1.25,5.0,5.0
광명,3.0,5.0,2.0,5.0,4.0,1.1111111111111112,4.0,4.0
서울 강북,1.0,5.0,1.0,4.0,3.0,1.0,3.0,5.0
군포,1.0,3.0,1.0,3.0,2.0,1.0,9.0,5.0
홍천,2.0,0.0,0.0,1.0,1.0,1.0,2.0,8.0
서울 영등포,3.0,3.0,5.0,10.0,2.0,0.9166666666666666,8.0,4.0
서울 용산,3.0,2.0,4.0,8.0,2.0,0.9,6.0,6.0
오산,3.0,2.0,1.0,4.0,3.0,0.8571428571428571,10.0,3.0
서울 강동,4.0,4.0,3.0,8.0,5.0,0.8461538461538461,5.0,8.0
인천 연수,5.0,4.0,1.0,6.0,6.0,0.8333333333333334,10.0,1.0
서울 동작,3.0,4.0,3.0,7.0,5.0,0.8333333333333334,6.0,5.0
서울 구로,4.0,5.0,1.0,8.0,4.0,0.8333333333333334,9.0,4.0
서울 은평,3.0,3.0,3.0,7.0,5.0,0.75,5.0,4.0
이천,2.0,3.0,1.0,6.0,2.0,0.75,6.0,9.0
과천,1.0,1.0,1.0,3.0,1.0,0.75,7.0,7.0
대구 중구,3.0,2.0,1.0,5.0,3.0,0.75,14.0,9.0
서울 도봉,2.0,2.0,1.0,5.0,2.0,0.7142857142857143,2.0,5.0
서울 양천,4.0,5.0,0.0,6.0,7.0,0.6923076923076923,7.0,4.0
정읍,1.0,1.0,0.0,2.0,1.0,0.6666666666666666,18.0,2.0
광주 남구,2.0,2.0,1.0,4.0,4.0,0.625,23.0,2.0
서울 성동,1.0,3.0,2.0,5.0,5.0,0.6,5.0,7.0
인천 중구,4.0,2.0,3.0,12.0,3.0,0.6,9.0,1.0
서울 중랑,2.0,3.0,2.0,9.0,3.0,0.5833333333333334,4.0,8.0
서울 송파,7.0,4.0,5.0,23.0,5.0,0.5714285714285714,6.0,8.0
서울 광진,4.0,2.0,2.0,11.0,3.0,0.5714285714285714,6.0,7.0
서울 성북,5.0,3.0,1.0,9.0,7.0,0.5625,3.0,6.0
부산 동래,1.0,5.0,0.0,4.0,7.0,0.5454545454545454,16.0,11.0
서울 노원,1.0,5.0,3.0,10.0,7.0,0.5294117647058824,2.0,6.0
서울 강서,4.0,3.0,3.0,13.0,6.0,0.5263157894736842,6.0,4.0
의정부,4.0,5.0,3.0,12.0,11.0,0.5217391304347826,1.0,7.0
대구 수성,5.0,5.0,2.0,12.0,11.0,0.5217391304347826,14.0,10.0
상주,1.0,0.0,0.0,1.0,1.0,0.5,11.0,8.0
광주 북구,3.0,5.0,1.0,13.0,5.0,0.5,22.0,3.0
서귀포,0.0,4.0,2.0,4.0,8.0,0.5,26.0,5.0
구리,1.0,3.0,1.0,6.0,4.0,0.5,3.0,8.0
부산 연제,2.0,3.0,1.0,7.0,5.0,0.5,17.0,11.0
부산 남구,2.0,4.0,1.0,5.0,9.0,0.5,19.0,11.0
부산 금정,2.0,3.0,2.0,5.0,10.0,0.4666666666666667,16.0,10.0
서울 관악,3.0,1.0,3.0,9.0,6.0,0.4666666666666667,7.0,5.0
대구 달서,3.0,7.0,3.0,10.0,18.0,0.4642857142857143,16.0,8.0
서울 동대문,2.0,3.0,1.0,6.0,7.0,0.4615384615384616,4.0,7.0
인천 남동,4.0,4.0,3.0,12.0,12.0,0.4583333333333333,10.0,2.0
울산 남구,3.0,6.0,1.0,8.0,14.0,0.4545454545454545,15.0,12.0
대구 북구,3.0,4.0,1.0,9.0,9.0,0.4444444444444444,14.0,8.0
대전 중구,2.0,3.0,2.0,7.0,9.0,0.4375,15.0,5.0
하남,1.0,1.0,1.0,4.0,3.0,0.42857142857142855,3.0,9.0
광주 서구,2.0,2.0,2.0,8.0,6.0,0.42857142857142855,22.0,2.0
부산 수영,0.0,3.0,0.0,4.0,3.0,0.42857142857142855,20.0,11.0
김포,2.0,3.0,3.0,9.0,10.0,0.42105263157894735,4.0,2.0
거제,3.0,2.0,0.0,6.0,6.0,0.4166666666666667,22.0,8.0
부산 북구,0.0,4.0,1.0,6.0,6.0,0.4166666666666667,17.0,9.0
부산 부산진,2.0,5.0,2.0,10.0,12.0,0.4090909090909091,17.0,10.0
부산 해운대,5.0,4.0,2.0,13.0,14.0,0.4074074074074074,17.0,12.0
대전 서구,5.0,4.0,2.0,16.0,11.0,0.4074074074074074,16.0,4.0
부천,4.0,8.0,3.0,18.0,19.0,0.40540540540540543,5.0,2.0
인천 부평,2.0,5.0,1.0,10.0,10.0,0.4,8.0,2.0
동두천,1.0,1.0,0.0,3.0,2.0,0.4,1.0,4.0
사천,1.0,1.0,0.0,1.0,4.0,0.4,21.0,6.0
군산,2.0,2.0,0.0,7.0,3.0,0.4,16.0,2.0
대구 서구,1.0,1.0,1.0,6.0,2.0,0.375,15.0,8.0
김해,5.0,4.0,3.0,11.0,21.0,0.375,20.0,9.0
부산 기장,1.0,2.0,1.0,6.0,5.0,0.3636363636363637,16.0,12.0
양산,2.0,4.0,2.0,7.0,15.0,0.3636363636363637,19.0,7.0
구미,5.0,4.0,1.0,17.0,11.0,0.35714285714285715,10.0,10.0
속초,1.0,1.0,0.0,3.0,3.0,0.3333333333333333,1.0,10.0
대구 남구,1.0,1.0,1.0,4.0,5.0,0.3333333333333333,15.0,9.0
무안,1.0,1.0,0.0,3.0,3.0,0.3333333333333333,21.0,1.0
익산,2.0,2.0,0.0,8.0,4.0,0.3333333333333333,16.0,3.0
평택,3.0,4.0,1.0,15.0,9.0,0.3333333333333333,11.0,4.0
