날짜,제주,경남,경북,전남,전북,충남,충북,강원,경기,세종,울산,대전,광주,인천,대구,부산,서울,검역,합계
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,4,67,0,1,13,1,8,7,0,3,0,0,0,469,3,10,0,586
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,1,89,0,0,1,0,1,7,0,3,1,2,2,405,3,1,0,516
2020-03-05,1,9,87,-1,0,4,1,2,9,0,0,1,1,0,321,-1,4,0,438
2020-03-06,0,3,123,0,0,4,3,2,10,0,0,2,-1,0,367,3,2,0,518
2020-03-07,0,5,65,0,0,2,5,1,10,1,0,0,0,0,390,1,3,0,483
2020-03-08,0,1,32,0,0,6,4,1,11,1,1,0,0,0,297,1,12,0,367
2020-03-09,0,0,26,0,0,4,1,1,11,3,0,1,2,0,190,-1,10,0,248
2020-03-10,0,0,10,0,0,2,0,0,11,2,0,-1,0,4,92,0,11,0,131
2020-03-11,0,1,18,0,0,8,2,1,12,2,1,0,0,12,131,2,52,0,242
2020-03-12,0,1,8,0,0,2,0,0,3,5,0,2,0,0,73,1,19,0,114
2020-03-13,0,0,4,0,0,1,0,0,7,17,2,2,0,2,61,1,13,0,110
2020-03-14,0,0,6,0,0,0,1,0,15,6,0,0,0,1,62,3,13,0,107
2020-03-15,0,0,4,0,0,0,3,0,11,1,1,0,1,2,41,3,9,0,76
2020-03-16,0,0,7,0,0,0,0,0,20,1,0,0,0,0,35,1,6,4,74
2020-03-17,0,1,5,0,0,0,0,0,31,0,0,0,0,1,32,0,12,2,84
2020-03-18,0,0,9,1,2,3,1,1,15,1,2,0,1,1,46,0,5,5,93
2020-03-19,0,0,12,0,1,0,1,0,18,0,6,0,0,0,97,0,12,5,152
2020-03-20,0,1,13,0,0,1,0,0,14,0,0,0,1,4,34,1,17,1,87
2020-03-21,0,0,40,0,0,0,1,0,12,0,0,0,0,4,69,0,15,6,147
2020-03-22,0,1,11,1,0,1,1,0,16,0,0,2,1,0,43,0,10,11,98
2020-03-23,0,1,2,0,0,0,2,0,14,1,0,0,0,0,24,1,6,13,64
2020-03-24,0,1,1,0,0,0,1,0,15,0,0,0,0,1,31,2,4,20,76
2020-03-25,2,0,5,2,0,3,0,1,21,2,1,0,0,1,14,1,13,34,100
2020-03-26,0,0,12,0,0,1,1,0,14,0,0,6,0,1,26,0,13,30,104
2020-03-27,1,1,9,0,0,0,2,0,11,0,2,1,1,3,34,1,12,13,91
2020-03-28,1,0,2,0,0,2,0,1,21,0,0,0,0,5,71,1,18,24,146
2020-03-29,0,3,2,1,2,1,0,2,15,2,0,3,0,7,23,3,20,21,105
2020-03-30,1,1,11,0,1,0,3,2,15,0,0,0,0,0,14,1,16,13,78
2020-03-31,0,1,2,0,0,1,0,0,13,0,0,2,0,6,60,1,24,15,125
2020-04-01,0,4,2,3,1,3,0,2,23,0,0,0,4,5,20,3,24,7,101
2020-04-02,0,6,2,2,0,2,0,1,17,0,1,0,1,4,21,0,14,18,89
2020-04-03,0,1,5,1,1,1,1,2,23,0,0,0,1,1,9,0,18,22,86
2020-04-04,0,1,1,0,0,1,0,1,23,0,0,0,0,3,27,0,22,15,94
2020-04-05,3,1,4,0,1,0,0,3,10,0,0,1,1,2,7,0,24,24,81
2020-04-06,0,2,2,0,0,1,0,0,8,0,0,2,0,1,13,0,11,7,47
2020-04-07,0,1,1,0,0,1,0,2,10,0,0,0,0,0,13,1,4,14,47
2020-04-08,0,1,3,0,1,0,0,2,6,0,0,0,0,4,9,2,11,14,53
2020-04-09,0,2,0,0,0,1,0,0,10,0,0,0,0,0,4,0,12,10,39
2020-04-10,0,0,7,0,0,0,0,0,9,0,0,0,0,1,0,1,5,4,27
2020-04-11,0,0,3,0,0,0,0,0,9,0,1,0,0,0,7,0,4,6,30
2020-04-12,0,0,3,0,0,1,0,0,4,0,0,0,0,1,2,0,3,18,32
2020-04-13,0,0,4,0,0,0,0,0,3,0,0,0,0,1,3,0,8,6,25
2020-04-14,0,0,5,0,0,0,0,0,8,0,1,0,0,1,3,0,2,7,27
2020-04-15,1,0,6,0,0,0,0,2,6,0,0,0,1,0,1,1,5,4,27
2020-04-16,0,0,4,0,0,0,0,1,4,0,0,0,0,0,4,3,2,4,22
2020-04-17,0,0,4,0,0,0,0,0,1,0,0,1,2,1,0,0,2,11,22
2020-04-18,0,1,2,0,0,2,0,1,4,0,0,-1,0,1,3,0,1,4,18
2020-04-19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,8
2020-04-20,0,0,2,0,0,0,0,0,2,0,1,0,0,1,1,2,0,4,13
2020-04-21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,3,9
2020-04-22,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,11
2020-04-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,2,8
2020-04-24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,6
2020-04-25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,4,10
2020-04-26,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,1,0,1,10
2020-04-27,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,5,10
2020-04-28,0,0,1,0,0,0,0,0,3,0,0,0,0,1,2,0,4,3,14
2020-04-29,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,3,9
2020-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
